ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
2951643,Passenger,ARMONK,NY,12/31/2024,12/30/2027,Regular,SUV,0,2025,Audi,Q5 E Premium 55,SU,Gray,0,H04,0,Audi Q5 Plug In,PHEV,Light-Duty (Class 1-2)
2948019,Passenger,AVON,CT,12/31/2024,12/30/2027,Regular,SUV,0,2025,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
2318395,Passenger,AVON,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2022,Volvo,Xc60 T8 Recharge Inscription,SU,Black,"808,040",H04,0,Volvo XC60 Plug In,PHEV,Light-Duty (Class 1-2)
2945023,Passenger,AVON,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Cadillac,Lyriq Lux,SU,Gray,0,E00,0,Cadillac Lyriq,BEV,Light-Duty (Class 1-2)
2952422,Passenger,BETHANY,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2019,Tesla,Model 3,4D,Blue,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
2952920,Passenger,BOLTON,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2024,BMW,I4 Edrive35,4D,Gray,0,E00,0,BMW i4,BEV,Light-Duty (Class 1-2)
2950222,Passenger,BRIDGEPORT,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Toyota,Rav4 Prime Xse,SU,Red,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
2952063,Passenger,BRIDGEPORT,CT,12/31/2024,12/30/2027,Regular,SUV,0,2025,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
2952165,Passenger,BRIDGEPORT,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2025,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
2947447,Passenger,BRIDGEPORT,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Jeep,Wrangler 4xe,SU,Gray,0,H04,0,Jeep Wrangler 4xe,PHEV,Light-Duty (Class 1-2)
2946364,Passenger,BRISTOL,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Cadillac,Lyriq Tech,SU,Black,0,E00,0,Cadillac Lyriq,BEV,Light-Duty (Class 1-2)
2952995,Passenger,BRISTOL,CT,12/31/2024,12/30/2027,Regular,SUV,0,2025,Lexus,Nx 450h Luxury,EP,White,0,H04,0,Lexus NX 450h+,PHEV,Light-Duty (Class 1-2)
2944732,Passenger,BRISTOL,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2025,KIA,Sportage X-line Prestige,EP,Gray,0,H04,0,Kia Sportage Plug-In,PHEV,Light-Duty (Class 1-2)
2949017,Passenger,BRISTOL,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2023,Jeep,Wrangler Rubicon 4xe,4W,Blue,0,H04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
2946202,Passenger,BROOKFIELD,CT,12/31/2024,12/30/2027,Regular,SUV,"5,842",2025,KIA,Sorento Ex,SU,Gray,0,H04,"5,842",Kia Sorrento Plug In,PHEV,Light-Duty (Class 1-2)
2946916,Passenger,BROOKLYN,CT,12/31/2024,12/30/2027,Regular,Passenger,0,2024,Mazda,Cx-90 Premium Plus,SU,Black,"1,133,521",H04,0,Mazda CX-90,PHEV,Light-Duty (Class 1-2)
1860374,Passenger,BURLINGTON,CT,12/31/2024,12/30/2027,Regular,Passenger,"3,900",2019,Subaru,Crosstrek,SU,Blue,0,G04,0,Subaru Crosstrek,PHEV,Light-Duty (Class 1-2)
2946992,Passenger,CHESHIRE,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Tesla,Model Y,SU,Red,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
2951531,Passenger,CLINTON,CT,12/31/2024,12/30/2027,Regular,SUV,0,2024,Toyota,Rav4 Prime Se,SU,Gray,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
2949896,Passenger,CLINTON,CT,12/31/2024,12/30/2027,Regular,Truck,"6,600",2024,Jeep,Wrangler Rubicon 4xe,EP,Red,0,H04,"6,600",Jeep Wrangler 4xe,PHEV,Light-Duty (Class 1-2)
